"Product","Product Description","Product Type","Product Category"
Assembly-97183507,WORM ASSLY,Assembly,Assembly
Shaft Sealing-9A5E43194330A,SHAFT SL,Production,Shaft Sealing
Support Stand-5A62A0049101,S STAND,Labour,Support Stand
Support Stand-5A62A0050300,S STAND,Labour,Support Stand
Sensor Wheel-9A5E52924133A,EF9K S WL,Production,Sensor Wheel
Guide-20F701A7184,CROSS GUIDE,Labour,Guide
Cover-9A5E52213809A,L COVER,Production,Cover
Ring-9A5E43196577A,LAY RING,Production,Ring
Shaft Assembly-9 A1AD310127,WELLE SHAFT ASSLY,Production,Shaft Assembly
Housing-9A5E52137954A,ICF HSG,Labour,Housing
Gear Assembly-DYA0308330H005,GEAR ASSLY,Assembly,Gear Assembly
Housing-92557203,EF9K STA HSG,Labour,Housing
Ring-9A5E52215122A,ADJ RING,Production,Ring
Bearing Shiled-92558320A,EF9K BEG SHLD,Labour,Bearing Shiled
Roller-9A5E52560440A,EF9K AROL,Labour,Roller
Cross Guide-1901068020,X GUIDE HN,Production,Cross Guide
Wheel-1VCR008441F0001,SPOKT WHEEL,Production,Wheel
Wheel-GCE7001070P0101,SPOKT WHEEL,Production,Wheel
Wheel-1VCR008440F0001,EXT WHEEL,Production,Wheel
Gear-GCE9401588P101,WORM GEAR,Production,Gear
Gear Assembly-DYA0308330H003,GEAR ASSLY,Assembly,Gear Assembly
Manifold-1201000001500,MANIFOLD,Labour,Manifold
Cylinder-1901060720,"370 HN CL",Production,Cylinder
Cylinder-1830086410,"180 DN CL",Production,Cylinder
Cylinder-1830086426,"370 CL INLT",Production,Cylinder
Cylinder-1830086317,"370 CL OTLT",Production,Cylinder
Housing-9A5E52381161A,SYDNY HSG,Labour,Housing
GB Assembly-952561279A,EF9K GB ASSLY,Labour,GB Assembly
Shield-1605000187001,M E SD NDE,Production,Shield
Cylinder-20C94229/561,"90 CL",Labour,Cylinder
Frame-89914007986501,GTDE1 ENCLOSURE,Labour,Frame
Cylinder-20C94229/549,"225 CL",Labour,Cylinder
Cylinder-20C94229/572,"260 CL",Labour,Cylinder
Shield-1604000187001,M E SD DE,Labour,Shield
Ring-9CMM,ADPT RING,Production,Ring
AL BEAM-711258159,AL BEAM,Production,AL BEAM
AL BEAM-711257964,AL BEAM,Production,AL BEAM
AL BEAM-711273891,AL BEAM,Production,AL BEAM
AL BEAM-711263414,AL BEAM,Production,AL BEAM
AL BEAM-711274386,AL BEAM,Production,AL BEAM
AL BEAM-711274071,AL BEAM,Production,AL BEAM
